"SAMPLE_NUMBER","LOGIN_DATE","LOGIN_DATE","REPORTABLE","ANALYSIS","REPORTED_NAME","REPORTED_UNITS","ENTRY","REPLICATE_COUNT","PRODUCT","CUSTOMER","IN_SPEC","PRODUCT_GRADE","SAMPLE_NAME","NAME","SAMPLING_POINT"
"6322122","18/06/2014 02:17:20 PM","18/06/2014 02:17:20 PM","T","IODI010493","Iodine","UG_P_100G","118","1","QC","","T","SRM","SRM","IODI01-14-0066","IRM001A"
"6325836","19/06/2014 01:08:23 PM","19/06/2014 01:08:23 PM","T","IODI010493","Iodine","UG_P_100G","124","1","QC","","T","SRM","SRM","IODI01-14-0067","IRM001A"
"6328948","20/06/2014 09:58:58 AM","20/06/2014 09:58:58 AM","T","IODI010493","Iodine","UG_P_100G","136","1","QC","","T","SRM","SRM","IODI01-14-0068","IRM001A"
"6334533","23/06/2014 07:55:27 AM","23/06/2014 07:55:27 AM","T","IODI010493","Iodine","UG_P_100G","121","1","QC","","T","SRM","SRM","IODI01-14-0069","IRM001A"
"6335319","23/06/2014 11:16:12 AM","23/06/2014 11:16:12 AM","T","IODI010493","Iodine","UG_P_100G","126","1","QC","","T","SRM","SRM","IODI01-14-0070","IRM001A"
"6340165","24/06/2014 02:28:54 PM","24/06/2014 02:28:54 PM","T","IODI010493","Iodine","UG_P_100G","120","1","QC","","T","SRM","SRM","IODI01-14-0071","IRM001A"
"6345477","26/06/2014 07:26:10 AM","26/06/2014 07:26:10 AM","T","IODI010493","Iodine","UG_P_100G","122","1","QC","","T","SRM","SRM","IODI01-14-0072","IRM001A"
"6346416","26/06/2014 10:45:58 AM","26/06/2014 10:45:58 AM","T","IODI010493","Iodine","UG_P_100G","134","1","QC","","T","SRM","SRM","IODI01-14-0073","IRM001A"
"6348913","27/06/2014 07:18:43 AM","27/06/2014 07:18:43 AM","T","IODI010493","Iodine","UG_P_100G","121","1","QC","","T","SRM","SRM","IODI01-14-0074","IRM001A"
"6356324","30/06/2014 11:23:40 AM","30/06/2014 11:23:40 AM","T","IODI010493","Iodine","UG_P_100G","131","1","QC","","T","SRM","SRM","IODI01-14-0075","IRM001A"
"6358001","01/07/2014 07:03:10 AM","01/07/2014 07:03:10 AM","T","IODI010493","Iodine","UG_P_100G","123","1","QC","","T","SRM","SRM","IODI01-14-0076","IRM001A"
